Words,Link,Score
'S GRAVENWEZEL,2970,1
SCHILDE,2970,1
ZOERSEL,2980,1
LOENHOUT,2990,1
WUUSTWEZEL,2990,1
BUIZINGEN,1501,1
LEMBEEK,1502,1
HERNE,1540,1
HERFELINGEN,1540,1
BIÉVÈNE,1547,1
HOEILAART,1560,1
GALMAARDEN,1570,1
VOLLEZELE,1570,1
TOLLEMBEEK,1570,1
SINT-LAUREINS-BERCHEM,1600,1
SINT-PIETERS-LEEUW,1600,1
OUDENAKEN,1600,1
VLEZENBEEK,1602,1
DROGENBOS,1620,1
LINKEBEEK,1630,1
RHODE-SAINT-GENÈSE,1640,1
BEERSEL,1650,1
LOT,1651,1
ALSEMBERG,1652,1
DWORP,1653,1
HUIZINGEN,1654,1
HEIKRUIS,1670,1
PEPINGEN,1670,1
BOGAARDEN,1670,1
ELINGEN,1671,1
BEERT,1673,1
BELLINGEN,1674,1
SINT-ULRIKS-KAPELLE,1700,1
SINT-MARTENS-BODEGEM,1700,1
DILBEEK,1700,1
ITTERBEEK,1701,1
GROOT-BIJGAARDEN,1702,1
SCHEPDAAL,1703,1
KOBBEGEM,1730,1
ASSE,1730,1
MOLLEM,1730,1
BEKKERZEEL,1730,1
RELEGEM,1731,1
ZELLIK,1731,1
TERNAT,1740,1
WAMBEEK,1741,1
SINT-KATHERINA-LOMBEEK,1742,1
MAZENZELE,1745,1
OPWIJK,1745,1
SINT-MARTENS-LENNIK,1750,1
LENNIK,1750,1
GAASBEEK,1750,1
SINT-KWINTENS-LENNIK,1750,1
LEERBEEK,1755,1
OETINGEN,1755,1
KESTER,1755,1
GOOIK,1755,1
PAMEL,1760,1
STRIJTEM,1760,1
ONZE-LIEVE-VROUW-LOMBEEK,1760,1
ROOSDAAL,1760,1
BORCHTLOMBEEK,1761,1
LIEDEKERKE,1770,1
WEMMEL,1780,1
BRUSSEGEM,1785,1
MERCHTEM,1785,1
TERALFENE,1790,1
HEKELGEM,1790,1
AFFLIGEM,1790,1
ESSENE,1790,1
VILVOORDE,1800,1
PEUTIE,1800,1
MELSBROEK,1820,1
STEENOKKERZEEL,1820,1
PERK,1820,1
DIEGEM,1831,1
MALDEREN,1840,1
LONDERZEEL,1840,1
STEENHUFFEL,1840,1
GRIMBERGEN,1850,1
HUMBEEK,1851,1
BEIGEM,1852,1
STROMBEEK-BEVER,1853,1
MEISE,1860,1
WOLVERTEM,1861,1
NIEUWENRODE,1880,1
KAPELLE-OP-DEN-BOS,1880,1
RAMSDONK,1880,1
KAMPENHOUT,1910,1
BUKEN,1910,1
NEDEROKKERZEEL,1910,1
NOSSEGEM,1930,1
ZAVENTEM,1930,1
SINT-STEVENS-WOLUWE,1932,1
STERREBEEK,1933,1
KRAAINEM,1950,1
WEZEMBEEK-OPPEM,1970,1
EPPEGEM,1980,1
ZEMST,1980,1
ELEWIJT,1982,1
WEERDE,1982,1
HEVERLEE,3001,1
KESSEL LO,3010,1
WILSELE,3012,1
WIJGMAAL,3018,1
VELTEM-BEISEM,3020,1
WINKSELE,3020,1
HERENT,3020,1
SINT-AGATHA-RODE,3040,1
NEERIJSE,3040,1
OTTENBURG,3040,1
LOONBEEK,3040,1
HULDENBERG,3040,1
OUD-HEVERLEE,3050,1
SINT-JORIS-WEERT,3051,1
BLANDEN,3052,1
HAASRODE,3053,1
VAALBEEK,3054,1
KORBEEK-DIJLE,3060,1
BERTEM,3060,1
LEEFDAAL,3061,1
KORTENBERG,3070,1
ERPS-KWERPS,3071,1
EVERBERG,3078,1
MEERBEEK,3078,1
DUISBURG,3080,1
TERVUREN,3080,1
VOSSEM,3080,1
OVERIJSE,3090,1
ROTSELAAR,3110,1
WEZEMAAL,3111,1
WERCHTER,3118,1
TREMELO,3120,1
BAAL,3128,1
BEGIJNENDIJK,3130,1
BETEKOM,3130,1
KEERBERGEN,3140,1
TILDONK,3150,1
HAACHT,3150,1
WESPELAAR,3150,1
BOORTMEERBEEK,3190,1
HEVER,3191,1
AARSCHOT,3200,1
GELRODE,3200,1
LANGDORP,3201,1
RILLAAR,3202,1
LUBBEEK,3210,1
LINDEN,3210,1
BINKOM,3211,1
PELLENBERG,3212,1
SINT-PIETERS-RODE,3220,1
KORTRIJK-DUTSEL,3220,1
HOLSBEEK,3220,1
NIEUWRODE,3221,1
SCHERPENHEUVEL,3270,1
SCHERPENHEUVEL-ZICHEM,3270,1
ZICHEM,3271,1
AVERBODE,3271,1
MESSELBROEK,3272,1
TESTELT,3272,1
DIEST,3290,1
WEBBEKOM,3290,1
SCHAFFEN,3290,1
KAGGEVINNE,3293,1
MOLENSTEDE,3294,1
KUMTICH,3300,1
TIENEN,3300,1
HAKENDOVER,3300,1
BOST,3300,1
OPLINTER,3300,1
OORBEEK,3300,1
GOETSENHOVEN,3300,1
VISSENAKEN,3300,1
HOEGAARDEN,3320,1
OUTGAARDEN,3321,1
WOMMERSOM,3350,1
LINTER,3350,1
DRIESLINTER,3350,1
MELKWEZER,3350,1
NEERHESPEN,3350,1
OVERHESPEN,3350,1
NEERLINTER,3350,1
ORSMAAL-GUSSENHOVEN,3350,1
BIERBEEK,3360,1
LOVENJOEL,3360,1
KORBEEK-LO,3360,1
OPVELP,3360,1
NEERVELP,3370,1
ROOSBEEK,3370,1
WILLEBRINGEN,3370,1
KERKOM,3370,1
VERTRIJK,3370,1
BOUTERSEM,3370,1
GLABBEEK,3380,1
BUNSBEEK,3380,1
ATTENRODE,3384,1
SINT-JORIS-WINGE,3390,1
HOUWAART,3390,1
TIELT-WINGE,3390,1
MEENSEL-KIEZEGEM,3391,1
RUMSDORP,3400,1
NEERWINDEN,3400,1
WANGE,3400,1
OVERWINDEN,3400,1
ELIKSEM,3400,1
EZEMAAL,3400,1
LAAR,3400,1
LANDEN,3400,1
WEZEREN,3401,1
WALSHOUTEM,3401,1
WALSBETS,3401,1
WAASMONT,3401,1
NEERLANDEN,3404,1
ATTENHOVEN,3404,1
ZOUTLEEUW,3440,1
BUDINGEN,3440,1
HELEN-BOS,3440,1
DORMAAL,3440,1
HALLE-BOOIENHOVEN,3440,1
GEETBETS,3450,1
GRAZEN,3450,1
RUMMEN,3454,1
BEKKEVOORT,3460,1
ASSENT,3460,1
MOLENBEEK-WERSBEEK,3461,1
KORTENAKEN,3470,1
RANSBERG,3470,1
HOELEDEN,3471,1
KERSBEEK-MISKOM,3472,1
WAANRODE,3473,1
SINT-LAMBRECHTS-HERK,3500,1
WIMMERTINGEN,3501,1
KERMT,3510,1
SPALBEEK,3510,1
KURINGEN,3511,1
STOKROOIE,3511,1
STEVOORT,3512,1
ZONHOVEN,3520,1
HELCHTEREN,3530,1
HOUTHALEN,3530,1
HOUTHALEN-HELCHTEREN,3530,1
HERK-DE-STAD,3540,1
BERBROEK,3540,1
DONK,3540,1
SCHULEN,3540,1
LOKSBERGEN,3545,1
ZELEM,3545,1
HALEN,3545,1
ZOLDER,3550,1
HEUSDEN-ZOLDER,3550,1
LUMMEN,3560,1
LINKHOUT,3560,1
ALKEN,3570,1
BERINGEN,3580,1
BEVERLO,3581,1
KOERSEL,3582,1
PAAL,3583,1
DIEPENBEEK,3590,1
NEERHAREN,3620,1
GELLIK,3620,1
VELDWEZELT,3620,1
LANAKEN,3620,1
REKEM,3621,1
MEESWIJK,3630,1
OPGRIMBIE,3630,1
MECHELEN-AAN-DE-MAAS,3630,1
