Words;Score
REGIS;60640
AGATHE;60360
CORENTIN;59530
CÉLIA;59480
JOSÉ;59020
ROBIN;58640
MARIE-CLAUDE;57765
LOU;57120
EDITH;56960
BASTIEN;56115
ELISA;55930
THIBAULT;55745
JORDAN;55515
CORALIE;55385
NOEMIE;55380
MATHÉO;55155
ANDRÉA;55040
EDMOND;54750
ERNEST;54570
ADELINE;54525
MARIE-FRANCE;54125
JEAN-JACQUES;54105
YOLANDE;53755
SYLVIANE;53085
VIVIANE;52900
MAURICETTE;52760
NOLAN;52665
GAËTAN;52650
ALICIA;52635
GABIN;52575
TONY;52180
RACHEL;51785
NOËL;51775
FÉLIX;51710
VALENTINE;51500
FRÉDÉRIQUE;50335
MARGOT;50235
JEANINE;49535
ADÈLE;49465
NINA;49405
JEAN-BAPTISTE;49275
MAEVA;49125
MARIE-LOUISE;48960
ELSA;48815
OLIVIA;48340
CLAUDETTE;47750
GAELLE;47560
EVAN;47540
AUGUSTIN;47535
LIAM;47055
MEHDI;46615
PAULE;46320
VICTORIA;46255
CARINE;46075
JEAN-PHILIPPE;46050
ELIE;45860
LILOU;45845
EMILIENNE;45360
MAËL;44860
MARINA;44510
RAYAN;44440
ALPHONSE;43705
YOANN;42710
TRISTAN;42590
LUDIVINE;42090
ANTONIN;42040
AUGUSTINE;41440
LOUNA;41020
NOA;40910
NADEGE;40860
MATHIAS;40605
ERWAN;40525
YVON;40515
MAX;40505
BLANCHE;40480
ROLANDE;39920
MARIANNE;39910
ALIX;39900
KARIM;39195
EDEN;39055
LISE;38970
AIME;38815
DIMITRI;38785
CHRISTOPHER;38585
CYRILLE;38455
AARON;37985
MARIE-HÉLÈNE;37950
GUSTAVE;37930
MURIELLE;37920
MAUD;37900
JEAN-YVES;37875
LUCILE;37710
CLÉMENTINE;37620
ALEXIA;37555
MARYLINE;37525
THIBAUT;37145
MATTÉO;36885
MARTIAL;36840
MANUEL;36705
MARIE-CLAIRE;36200
JIMMY;36145
OPHÉLIE;36035
GERALDINE;35920
MARIE-LAURE;35545
CHARLIE;35540
MARYVONNE;35470
JOHAN;35410
ADRIENNE;34950
MARIE-JOSÉ;34950
MARCEAU;34445
EMELINE;34235
REINE;34180
CHARLINE;34145
DORIAN;33900
MORGAN;33610
ANNETTE;33565
STEVEN;33490
MAEL;33465
GERMAIN;33015
ANNE-SOPHIE;32590
SOFIA;32555
CHARLÈNE;32495
ALEX;32475
VICTOIRE;32400
MARLÈNE;32275
SOLÈNE;32185
LYDIA;32150
GÉRALD;32145
JEAN-CHRISTOPHE;32105
TIMÉO;31975
MARIE-PIERRE;31780
YASMINE;31730
AUDE;31625
CARMEN;31570
MILA;31550
LINDA;31315
RAOUL;31310
LUNA;31200
KATIA;31150
ESTEBAN;30930
KYLIAN;30910
ALI;30830
FATIMA;30580
FRANCE;30160
CLARISSE;30100
MARJORIE;30080
JULIENNE;30045
NATACHA;30000
ANITA;29825
NOÉ;29810
LAURIE;29795
LENNY;29195
MATHYS;29140
ALBAN;29130
ELIOTT;28975
ABEL;28965
BENEDICTE;28890
LORENZO;28665
AIMÉE;28620
CONSTANCE;28525
SARA;28450
BRICE;28390
GAEL;28285
GASPARD;28275
ALBERTINE;28230
MÉLINA;28205
NOËLLE;28205
MAELYS;28150
MARIE-FRANÇOISE;28145
BLANDINE;27910
INGRID;27900
GEOFFREY;27865
HÉLOÏSE;27740
SALOMÉ;27725
CAPUCINE;27620
JOHANNA;27585
CLOTILDE;27545
LANA;27530
JAMES;27480
CATHY;27420
YVAN;27410
LILIAN;27175
GRÉGOIRE;27100
OSCAR;27080
CARLA;27075
NORBERT;26825
ELENA;26820
ISAAC;26810
JEREMIE;26675
INAYA;26620
ARMELLE;26485
MALO;26260
BARBARA;26180
DEBORAH;26175
MIA;26170
AMINE;26135
DANY;26115
HUGUES;25840
CHARLY;25815
MAGALIE;25795
KELLY;25695
AXELLE;25385
BRYAN;25335
LAURINE;25320
IBRAHIM;25180
LOUANE;25095
EDDY;24895
YOHAN;24895
CLAUDIE;24780
OLGA;24775
CASSANDRA;24675
SOFIANE;24650
TIAGO;24580
LÉONE;24555
RENAUD;24510
MYLÈNE;24365
MAELLE;24325
EMILIEN;24315
LÉONTINE;24210
MALIKA;24065
VIOLETTE;24050
ROSELYNE;23980
DIANE;23940
LILY;23940
IRIS;23815
CANDICE;23795
ROXANE;23760
NINO;23745
TEDDY;23705
NORA;23625
TIMOTHÉE;23620
RODOLPHE;23425
ROMY;23380
AHMED;23140
LEILA;23105
JÉRÔME;23085
PERRINE;23025
ELOISE;23015
YOHANN;23000
COLINE;22950
ROSALIE;22635
CYNTHIA;22560
ANGE;22500
AYMERIC;22455
JUSTIN;22365
NOE;22295
YOUSSEF;22125
FLORA;21965
KILLIAN;21960
YASSINE;21935
STEVE;21835
FAUSTINE;21730
STANISLAS;21675
CHRISTEL;21645
SYLVIA;21525
ASSIA;21505
TITOUAN;21495
DIEGO;21460
MARIE-NOËLLE;21410
JASON;21245
EDWIGE;21215
ILYES;21070
ALAN;20990
ANTONIO;20795
AMAURY;20695
CLAUDIA;20680
NAËL;20620
APOLLINE;20580
ANNE-LAURE;20540
RUDY;20525
NOUR;20510
GWENDOLINE;20360
ANGELINA;20355
LOUISA;20165
LOUISETTE;20160
AYA;20060
CÉCILIA;20030
ROMUALD;20010
SASHA;19975
KENZA;19805
RYAN;19785
JEANNETTE;19720
NOAM;19680
FLORIANE;19675
MARIE-JEANNE;19670
NOÉMIE;19665
AMIR;19515
JOHANN;19495
JEAN-CHARLES;19465
ANISSA;19460
MATÉO;19445
GIULIA;19430
JACKIE;19420
CÉDRIC;19340
MARIE-PAULE;19130
ESTHER;19125
AYOUB;19110
LÉANDRE;19045
TIPHAINE;18980
FLAVIE;18960
STELLA;18955
LILA;18940
DÉSIRÉ;18910
JULIAN;18795
RACHID;18775
ANNABELLE;18760
GWENAELLE;18685
WILLY;18660
ROSELINE;18615
PIERRICK;18605
SAMY;18565
LÉANA;18470
ROSA;18455
ACHILLE;18405
MAËLYS;18335
YOUNES;18320
BASILE;18215
FARID;18200
SANDY;18200
TANGUY;18045
PABLO;18020
ELEONORE;18000
ANAELLE;17940
ASTRID;17935
VICTORINE;17935
MAYA;17920
GAUTHIER;17895
RAFAEL;17875
EMY;17855
NASSIM;17815
EVELINE;17780
SAMANTHA;17775
ALLAN;17735
LOGAN;17680
ANTONY;17595
PEGGY;17550
MIKAEL;17525
MARINETTE;17405
AUGUSTA;17390
LÉANE;17310
SOPHIA;17275
JESSY;17235
SAMIR;17215
CORINE;17175
JÉRÉMY;17085
LUCA;17080
LYNA;17050
MARIE-ANGE;16880
MARIELLE;16865
MARIO;16820
HAMZA;16805
TIFFANY;16765
YACINE;16675
RUBEN;16650
MILO;16590
LYAM;16580
FREDDY;16575
ADOLPHE;16515
TIMEO;16500
YOAN;16420
LOAN;16395
JORIS;16370
FERDINAND;16365
MARIE-LINE;16305
RONAN;16170
ELIAS;16100
TATIANA;16100
MARYLENE;16025
ALISON;16000
ANGÉLIQUE;15965
LORIS;15960
DOROTHEE;15940
EVE;15935
BORIS;15885
IMRAN;15800
KENZO;15760
MATTHIAS;15720
LESLIE;15600
ERNESTINE;15565
OWEN;15510
HELENA;15405
JOHNNY;15385
CONSTANT;15340
AYDEN;15295
AMINA;15285
BILAL;15270
LYA;15225
THIBAUD;15190
SÉVERINE;15170
ENORA;15160
SAMIA;15145
SAMI;15070
ARSENE;15060
EMMY;14980
JOACHIM;14980
HORTENSE;14960
LINE;14945
BETTY;14940
JEAN-NOËL;14930
NINON;14900
KAÏS;14895
MIGUEL;14870
SYLVETTE;14870
IDA;14805
ALBANE;14760
FLAVIEN;14720
ALBA;14690
MICKAËL;14665
WASSIM;14650
LOUKA;14630
YANNIS;14585
LEOPOLD;14575
AMÉLIA;14555
KÉVIN;14540
JOHN;14525
ISMAEL;14440
JACK;14420
THEOPHILE;14345
ZAKARIA;14305
YASMINA;14255
SOAN;14210
ILAN;14200
WENDY;14180
ELIO;14125
ALEXANDRINE;14075
KAMEL;13970
LAURIANE;13955
KAREN;13945
AURELIA;13935
NOLWENN;13920
CASSANDRE;13910
ALIZÉE;13835
OCTAVE;13805
ELINA;13790
EWEN;13760
GARANCE;13750
SOHAN;13710
MYA;13635
ILONA;13550
MILAN;13540
PRISCILLA;13495
INES;13405
SAMIRA;13350
ALPHONSINE;13320
ANGELO;13315
JUDITH;13305
ADEM;13275
REBECCA;13255
FLORINE;13230
ANGELINE;13205
IRMA;13155
MANEL;13140
CHRISTÈLE;13110
MAHÉ;13070
MALIK;13045
LISON;12990
SOLINE;12950
WILFRIED;12945
ANA;12940
LILIA;12920
NABIL;12910
ROMÉO;12865
ISMAËL;12855
GAËLLE;12825
STEPHAN;12800
RAYANE;12775
JOCELYN;12655
MARIN;12650
ANDY;12635
OMAR;12635
MARIE-ROSE;12600
LOUISON;12565
AMEL;12545
MARIE-MADELEINE;12545
PHILOMENE;12500
CLOE;12490
IMANE;12490
ANAS;12480
NOHAM;12460
MOUSSA;12375
FLORE;12370
ELIOT;12335
WALID;12300
SELMA;12290
GHISLAIN;12265
MAXIMILIEN;12255
ULYSSE;12250
MARVIN;12225
MEGANE;12215
LIVIA;12205
ALMA;12170
LARA;12140
GIOVANNI;12125
HENRY;12125
LEONARD;12075
MARIE-ANNE;12070
CÔME;12040
AICHA;11995
LOÏS;11935
JOSHUA;11925
THEODORE;11895
PASCALINE;11885
GRÉGORY;11815
CELESTINE;11795
NAEL;11795
MOHAMMED;11765
MOISE;11745
FRANK;11600
ARIANE;11590
CYRIELLE;11550
ALYA;11545
MARILYNE;11500
KARIMA;11460
MARYAM;11455
MARIAM;11420
MAËLLE;11395
ALYSSA;11390
FATOUMATA;11380
LUKA;11360
FELICIE;11355
MELVIN;11325
DALILA;11320
FIONA;11305
SAID;11280
BÉRÉNICE;11235
UGO;11180
BRANDON;11165
HIPPOLYTE;11120
THAÏS;11110
ARMANDE;11105
NAÏM;11085
JASMINE;11075
ROBERTE;11005
CLÉA;10935
ISSA;10925
ROSE-MARIE;10895
NOELIE;10855
LYANA;10835
ANOUK;10830
SORAYA;10825
CLOVIS;10815
NICOLLE;10815
ELLA;10790
CELESTIN;10785
MARIETTE;10775
SANDRO;10770
CYPRIEN;10755
KILIAN;10745
CARLOS;10690
REJANE;10680
ANATOLE;10655
DORIANE;10630
ELOÏSE;10615
ANIS;10610
KARL;10600
MELODIE;10600
SALIM;10600
LOANE;10590
CHIARA;10560
THÉA;10545
AVA;10445
DOLORES;10445
MARIE-ODILE;10405
ANTONIA;10395
ERIKA;10370
KHADIJA;10330
YAMINA;10290
ORIANE;10280
MARIE-JOSEPHE;10235
ABDELKADER;10215
HAKIM;10200
TESSA;10195
SALMA;10145
LYSIANE;10130
NAOMI;10125
LAËTITIA;10105
GLADYS;10085
CAMÉLIA;10070
ELIA;10060
PAOLA;10055
STEEVE;10050
ELINE;10005
SIRINE;10005
CHRYSTELLE;9980
LUIS;9975
ASMA;9965
CLAUDIUS;9965
IVAN;9955
ORLANE;9945
DIANA;9930
ADELAIDE;9925
TANIA;9925
ELOI;9920
AMIRA;9890
JONAS;9835
FARAH;9765
ALESSIO;9760
ROMAN;9760
JENNY;9740
ANDREA;9725
AYMEN;9690
EMILIA;9670
HECTOR;9650
LUCIA;9635
DAPHNÉ;9630
NANCY;9630
YVELINE;9630
HANNA;9615
IDRISS;9615
TÉO;9615
VIVIEN;9585
ZÉLIE;9585
ADEL;9560
ANGEL;9560
DINA;9545
LUKAS;9545
DAVY;9530
MANUELA;9525
JOY;9450
MUSTAPHA;9450
LUCILLE;9390
DOUNIA;9385
MAÉ;9375
JUAN;9370
MICHAËL;9355
LENA;9350
LUCY;9330
PIERRE-YVES;9325
SYLVAINE;9295
ENOLA;9270
GIANNI;9260
LEONCE;9260
ANNY;9245
TESS;9230
AMINATA;9225
EDGAR;9205
ROSINE;9205
ANGELA;9200
LUCE;9200
LEO;9185
BRAHIM;9165
EMERIC;9165
RAPHAELLE;9165
ALBERTE;9135
FATIHA;9135
KYLLIAN;9105
ELLIOT;9075
LINDSAY;9030
SIDONIE;9025
CORALINE;8975
JOSÉPHINE;8970
GEOFFROY;8965
MALONE;8930
ROLLAND;8930
SANA;8925
FIRMIN;8915
JEAN-BERNARD;8910
LYLOU;8910
GAUTIER;8900
LIVIO;8895
SHANA;8855
MARCELLINE;8825
AMBROISE;8790
MIKE;8790
ANASTASIA;8785
DJIBRIL;8785
SWANN;8785
NORDINE;8755
NATHANAEL;8745
RAPHAEL;8720
FABIO;8680
MELINE;8665
ILYAN;8650
RITA;8640
FARIDA;8595
JANE;8550
MANUELLA;8545
MAILYS;8495
SUZETTE;8480
MELINDA;8465
PAOLO;8460
NAOMIE;8455
TIMOTHE;8420
LINO;8415
VIRGILE;8415
MARCO;8380
AMEDEE;8330
KLEBER;8325
GWENAEL;8315
GAËL;8310
JOAN;8310
MOURAD;8310
ARISTIDE;8305
GUILHEM;8305
ELEA;8295
HONORINE;8280
WILFRID;8275
MARWA;8270
NELSON;8270
MAMADOU;8250
MARCELINE;8250
CESAR;8225
JOANNA;8210
ANNE-LISE;8170
HONORE;8170
VIOLAINE;8155
MELODY;8130
MAUREEN;8120
BRIAN;8105
ILYAS;8100
JENNA;8070
MARIE-JOSEE;8050
ELÉNA;8015
ORNELLA;8000
GILDAS;7995
ANAËLLE;7985
RODRIGUE;7980
EZIO;7975
CHRISTIANNE;7965
MARWAN;7950
PRISCILLIA;7950
PAMELA;7905
CHRISTINA;7850
PHILIPPINE;7825
AUBIN;7820
LAURETTE;7815
FRANCETTE;7785
GÉRALDINE;7750
NOLANN;7740
RAFAËL;7740
PALOMA;7700
CÉLESTE;7675
ELOUAN;7650
ETIENNETTE;7640
JOFFREY;7640
LOU-ANNE;7640
NADÈGE;7640
ERWANN;7620
RANIA;7610
MARIE-AGNÈS;7600
GRAZIELLA;7585
AÏCHA;7580
MARIE-ANTOINETTE;7570
TIM;7565
LEÏLA;7560
NILS;7550
NATHANAËL;7545
FRANCISCO;7535
NAHIL;7530
ILYANA;7515
KENNY;7510
LENY;7505
MINA;7490
NAIMA;7470
ELIETTE;7465
MAËVA;7465
NOLHAN;7440
DONOVAN;7420
SAM;7410
LILI;7375
FATMA;7370
FARES;7365
TIMOTHÉ;7350
CELINA;7345
MARIE-ANNICK;7335
GUYLAINE;7310
NAWEL;7300
SAFIA;7270
MAYLIS;7265
OLYMPE;7265
FRANÇOIS-XAVIER;7250
CASIMIR;7230
ZELIE;7230
DJAMEL;7190
ARMEL;7170
LOLITA;7170
BILEL;7115
GISELLE;7110
FLORENTIN;7095
ALIYA;7085
HADRIEN;7080
LEA;7080
AYLAN;7075
MAÏSSA;7035
THAIS;7030
DJAMILA;6990
PAULA;6965
BERENGERE;6960
LILY-ROSE;6935
PROSPER;6930
ERICK;6905
MARY;6905
LAURENE;6895
BARTHELEMY;6850
FELICIEN;6850
KIMBERLEY;6845
ZOHRA;6845
AMAR;6820
MUGUETTE;6820
ISSAM;6800
ELYA;6775
AMANDA;6760
WARREN;6755
EDGARD;6695
EWAN;6695
KATY;6685
NORAH;6685
CHLOE;6670
ELÉONORE;6670
GINO;6635
THIAGO;6635
HAWA;6630
