Words;Score
äntligen;4662
lever;4651
dåligt;4632
bäst;4609
ingenting;4601
arbete;4601
haha;4597
igång;4593
självklart;4586
sida;4569
samhället;4566
dra;4550
stan;4543
delar;4542
vatten;4536
sånt;4532
bor;4522
naturligtvis;4519
fortsätta;4504
lär;4501
köpte;4497
fem;4494
speciellt;4476
största;4468
börjat;4461
otroligt;4452
gav;4421
ytterligare;4404
per;4403
sådana;4339
höra;4330
spännande;4325
svar;4310
goda;4307
spelar;4300
hjälpa;4299
lägger;4283
sådant;4264
kroppen;4254
mål;4221
tv;4220
regeringen;4188
tanke;4184
höll;4183
politik;4177
visade;4167
huvudet;4163
föräldrar;4156
familj;4148
illa;4147
eget;4133
jobbar;4127
skrivit;4126
klara;4113
polisen;4111
kronor;4111
betyder;4105
absolut;4098
kändes;4092
endast;4082
kunnat;4071
gud;4066
åker;4063
läst;4059
berätta;4029
välja;4024
kvinna;3995
fullt;3995
vänta;3989
människa;3978
månader;3967
mår;3966
böcker;3958
sluta;3941
visste;3908
gammal;3898
orkar;3871
köra;3869
tankar;3865
vän;3860
fungerar;3857
länder;3856
omkring;3853
borta;3846
litet;3844
skapa;3839
följa;3824
natten;3793
antal;3789
lämna;3785
väntar;3776
använder;3773
jul;3768
konstigt;3764
procent;3761
hög;3752
jävla;3746
huset;3743
familjen;3742
förutom;3736
roll;3735
massor;3729
hit;3724
beslut;3713
håll;3707
fortsätter;3696
rum;3695
någonting;3687
slutet;3682
vanliga;3669
tidigt;3669
hus;3667
åtminstone;3664
hänt;3663
hittar;3653
försökte;3647
väljer;3640
rent;3637
betala;3633
åren;3631
oavsett;3628
via;3615
mera;3600
behöva;3595
ok;3592
världens;3575
satte;3573
stöd;3564
knappt;3558
stället;3555
därmed;3551
finnas;3547
resten;3543
anledning;3535
kläder;3530
ditt;3529
övrigt;3526
ställa;3525
träffa;3522
ringde;3522
full;3519
sätter;3512
spela;3512
givetvis;3506
nöjd;3502
unga;3486
behövs;3481
oftast;3479
kl;3478
problemet;3474
äter;3466
saknar;3459
val;3456
tala;3450
bil;3422
natt;3421
önskar;3382
ensam;3380
kärlek;3379
frågade;3362
ansvar;3361
minns;3356
klar;3352
tio;3351
lyckas;3350
pratar;3349
allra;3347
solen;3341
ned;3340
hund;3323
möjlighet;3309
okej;3298
sist;3292
media;3272
ligga;3269
kör;3251
förbi;3251
middag;3250
drar;3244
hårt;3240
sån;3239
la;3237
trevligt;3227
lag;3221
någonsin;3215
sängen;3212
halv;3208
viss;3204
läste;3203
parti;3197
steg;3196
enbart;3184
högre;3178
dagarna;3172
