Words;Score
ebenso;3558
darum;3558
freunde;3520
rein;3508
kennt;3473
einzige;3471
junge;3467
hören;3463
bringt;3443
stellt;3440
somit;3424
genauso;3406
hält;3405
dadurch;3405
wobei;3395
dein;3388
dürfen;3381
nimmt;3367
warten;3360
groß;3359
alleine;3359
unseren;3337
frei;3299
ansonsten;3271
läuft;3268
gegeben;3263
unten;3250
gilt;3247
darin;3240
bekannt;3229
genommen;3218
wenigstens;3212
treffen;3206
zweiten;3193
deswegen;3178
länger;3177
vermutlich;3176
erzählt;3171
welches;3167
eure;3162
licht;3157
wären;3153
unserem;3152
menge;3152
folgen;3140
g;3138
mache;3136
wann;3125
habt;3122
gleichzeitig;3120
lernen;3081
gedacht;3079
stark;3070
passt;3052
laufen;3044
konnten;3044
manche;3043
solchen;3038
dagegen;3036
abends;3015
könnten;3006
reden;3000
diesmal;2996
jungen;2995
tat;2993
bedeutet;2991
machte;2989
suchen;2988
ziel;2986
ziehen;2985
überall;2975
wert;2969
weder;2951
kleiner;2941
n;2929
fünf;2926
rolle;2891
beste;2888
alter;2888
dran;2884
sitzen;2880
irgendwo;2870
heraus;2869
gebracht;2861
rund;2846
suche;2843
oh;2827
schauen;2822
führen;2822
erhalten;2821
kleines;2818
helfen;2817
links;2814
interessant;2793
herum;2790
falls;2790
sowieso;2787
ruhe;2785
alt;2758
per;2757
klasse;2748
u;2733
versuchen;2731
krieg;2721
erkennen;2716
wollten;2710
gekauft;2710
zuerst;2704
außer;2704
gefällt;2702
handelt;2696
kenne;2695
ehrlich;2689
ständig;2688
gehe;2682
führt;2682
mindestens;2680
sprechen;2676
weiteren;2659
meinte;2659
absolut;2657
zudem;2653
kannst;2644
anderer;2644
müsste;2641
freue;2634
falsch;2632
unternehmen;2629
gleichen;2629
selten;2627
weiterhin;2624
band;2623
richtige;2622
gegangen;2621
lag;2618
eins;2611
getan;2610
zimmer;2602
kamen;2596
klein;2590
erde;2589
geschafft;2586
zunächst;2582
vorstellen;2577
insgesamt;2574
pro;2572
spielt;2568
früh;2562
ihres;2558
stimme;2552
preis;2552
sorgen;2546
soweit;2545
zweite;2544
voller;2544
könnt;2539
komme;2538
ähnlich;2522
sicherlich;2521
einiges;2520
schaffen;2519
wusste;2517
nett;2517
besteht;2515
aufgrund;2511
tolle;2509
gutes;2503
verloren;2502
ließ;2497
schreibt;2492
tragen;2488
brauchen;2470
mehrere;2466
persönlich;2465
drin;2464
h;2462
schlafen;2458
gehabt;2452
komplett;2451
kosten;2449
unterwegs;2442
seien;2441
setzen;2437
indem;2436
beginnt;2431
funktioniert;2422
erklärt;2414
zahlen;2410
gemeinsam;2406
c;2405
reihe;2394
gefahren;2392
gestellt;2376
innerhalb;2375
offen;2369
kraft;2361
seines;2358
verschiedenen;2355
teilweise;2346
rechts;2346
denkt;2338
sage;2333
entweder;2324
gespannt;2305
derzeit;2304
nähe;2303
verlassen;2300
fallen;2296
sinne;2282
fragte;2282
fehlt;2280
daraus;2278
aufs;2266
fragt;2264
hört;2254
draußen;2250
t;2248
zehn;2245
stimmt;2245
niemals;2240
gefragt;2232
längst;2226
erzählen;2223
klingt;2219
bereit;2218
bekam;2218
wieso;2211
glücklich;2208
froh;2207
freuen;2202
erklären;2197
hoffentlich;2191
reicht;2171
morgens;2171
lachen;2166
welcher;2161
mach;2159
e;2157
interessiert;2155
schade;2152
schritt;2133
zuvor;2132
ernst;2132
halte;2123
gewissen;2123
erfahren;2121
schönes;2118
nutzen;2118
hilft;2118
bietet;2113
angekommen;2110
schlimm;2109
zieht;2107
ändern;2096
laden;2094
erinnert;2091
richtigen;2085
knapp;2085
solange;2079
seid;2079
hinaus;2076
wirkt;2073
relativ;2072
fühlt;2064
online;2057
post;2054
meint;2054
legen;2053
nennen;2048
sowohl;2044
meistens;2040
folge;2037
spricht;2029
p;2028
gleiche;2027
dürfte;2022
erwartet;2020
guter;2011
wenige;2007
lustig;1998
fühlen;1997
großer;1996
offenbar;1995
spät;1994
ruhig;1994
böse;1993
nahm;1989
durfte;1988
erinnern;1984
mussten;1977
tief;1972
tja;1971
nehme;1968
momentan;1965
offensichtlich;1962
sitzt;1958
reise;1957
lebt;1957
haut;1957
anderem;1953
erreicht;1950
trinken;1948
versuche;1929
politischen;1925
blieb;1921
gelernt;1920
hallo;1915
erreichen;1915
ans;1914
entfernt;1913
anschließend;1910
verschiedene;1902
opfer;1902
entscheiden;1896
lediglich;1893
liebsten;1892
gehalten;1891
brauche;1890
verhalten;1889
setzt;1889
einzelnen;1887
unglaublich;1874
bewusst;1868
versuch;1867
extrem;1866
dahin;1864
begann;1858
schaut;1854
irgendwas;1854
lecker;1850
fiel;1842
sechs;1837
wolle;1836
kalt;1835
verstanden;1833
herzen;1826
erlebt;1825
beispielsweise;1825
langen;1824
könne;1824
rede;1820
mitten;1819
zuhause;1817
zufrieden;1814
begeistert;1814
wenigen;1813
ecke;1811
stimmen;1800
schuld;1800
angeblich;1791
gebe;1788
fühle;1787
erster;1785
halb;1783
stolz;1781
linken;1781
leid;1780
spannend;1775
entschieden;1775
beschäftigt;1770
siehe;1769
grünen;1764
deinen;1761
häufig;1759
schöner;1757
perfekt;1753
näher;1751
jemanden;1744
sucht;1742
gehören;1739
bieten;1739
hinten;1733
arm;1732
rahmen;1728
verwendet;1727
quasi;1727
täglich;1721
davor;1716
angefangen;1713
rücken;1711
trifft;1710
bloß;1708
andererseits;1707
entwickelt;1706
haare;1704
gründen;1702
wunderbar;1700
sobald;1699
glaubt;1697
beginn;1694
soviel;1693
aussehen;1691
kochen;1685
wahr;1683
müde;1682
erwarten;1681
teile;1680
okay;1680
wiederum;1676
selbstverständlich;1674
abgesehen;1673
anfangen;1663
freunden;1660
entdeckt;1660
regen;1659
lasse;1653
teilen;1652
arme;1651
geschehen;1650
weile;1649
linke;1648
regelmäßig;1647
trägt;1641
möglichst;1638
erscheint;1637
schneller;1635
liest;1635
sag;1634
nachts;1634
runde;1628
berichten;1627
warm;1625
tollen;1624
hielt;1624
schreibe;1622
halbe;1618
frisch;1610
begriff;1610
bekomme;1607
miteinander;1606
großes;1603
heutigen;1601
fürs;1601
holen;1592
gezeigt;1592
vorne;1591
jeweils;1587
deutsch;1586
getroffen;1585
versteht;1584
lese;1580
traurig;1579
liste;1579
bekannten;1573
grüße;1568
unterschied;1565
stellte;1560
insbesondere;1559
vergangenen;1558
vieles;1556
heißen;1551
gesetzt;1551
erleben;1551
letzter;1549
genannt;1548
folgt;1547
stets;1546
herbst;1546
sieben;1535
politische;1533
hohen;1522
entgegen;1521
dingen;1521
normal;1519
plan;1517
kurze;1517
x;1515
letztes;1515
passieren;1514
ohnehin;1514
k;1513
deinem;1513
freien;1508
lass;1506
antworten;1504
nennt;1502
deiner;1502
lief;1488
vollkommen;1485
druck;1482
verlieren;1477
dritten;1477
runter;1470
neuer;1468
kurzen;1468
aktuellen;1468
r;1466
nette;1465
hingegen;1465
schafft;1464
gezogen;1464
laufe;1463
zahl;1459
rechte;1457
mögen;1456
leisten;1455
wand;1453
langweilig;1441
grenzen;1440
jene;1439
geblieben;1439
rechten;1438
zusätzlich;1437
weh;1433
glaub;1433
extra;1433
krank;1430
hinterher;1430
gewinnen;1430
anscheinend;1429
möchten;1428
